"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
1,4,14,,49393,87,47,63,42,60,56,42,47,-43,-14,8,-3,-15,3,-2,8
1,5,14,cel-miR-75,49868,103,62,63,43,59,55,58,52,-29,-3,6,-3,-15,4,16,14
1,6,14,,49883,117,58,60,63,102,52,57,54,-20,-2,5,17,23,-1,14,16
1,7,14,,50273,268,744,286,393,265,500,913,337,122,694,224,348,186,451,872,299
1,8,14,,49700,114,45,75,46,60,47,52,45,-49,-3,11,0,-15,-6,10,4
1,9,14,,49384,132,44,64,48,52,48,53,40,-28,-3,2,3,-23,-5,8,-1
1,10,14,,49040,114,57,68,49,63,64,53,58,-56,7,4,3,-11,11,11,19
1,11,14,,49679,140,47,69,45,56,55,67,42,-29,0,0,1,-14,1,24,1
1,12,14,,47178,152,52,66,50,55,48,61,44,-38,6,-5,4,-17,-3,18,3
1,13,14,Empty,0,216,49,68,50,66,46,47,41,12,4,-5,5,-1,-1,3,0
1,14,14,Hy3,13138,901,375,249,300,602,392,567,298,704,327,170,256,534,345,522,259
1,15,14,Hy3,13138,627,341,289,364,459,257,413,311,425,294,215,318,392,207,366,273
2,1,1,Hy3,13138,817,872,346,742,1096,778,8041,1414,356,822,290,596,1028,733,7999,1372
2,2,1,,4700,340,51,70,86,70,49,77,53,-296,2,15,-24,-1,5,35,13
2,3,1,,11038,319,80,97,96,75,58,81,71,-145,33,44,-2,2,11,39,29
2,4,1,,30442,239,70,56,79,65,53,58,51,-42,24,4,-9,-5,9,12,10
2,5,1,,13147,250,52,65,71,73,44,56,59,-28,6,11,-22,1,-1,14,18
2,6,1,,42761,395,66,70,66,65,51,76,53,89,20,13,-38,-5,3,31,10
2,7,1,,10988,275,54,64,65,55,52,56,51,-5,6,4,-62,-18,5,9,8
2,8,1,,11165,327,56,75,77,61,50,54,52,50,8,19,-97,-11,1,11,9
2,9,1,,42719,265,92,173,92,85,70,106,130,103,45,120,-132,10,25,59,88
2,10,1,,42957,247,120,67,120,115,80,59,57,122,72,13,-149,44,35,17,16
2,11,1,,42525,157,57,87,81,61,50,66,71,40,10,26,-239,-14,4,24,28
2,12,1,,42910,168,55,89,107,61,49,116,63,57,7,16,-333,-21,1,71,20
2,13,1,,27536,154,60,102,203,63,51,59,60,46,10,3,-295,-23,4,13,16
2,14,1,,10944,149,55,108,197,60,55,56,53,48,3,-29,-216,-32,6,10,8
2,15,1,Hy3,13138,938,735,1203,887,545,1569,3015,1253,828,681,1015,486,453,1520,2968,1205
2,1,2,,28759,188,69,61,144,72,46,69,45,-101,18,8,-72,1,1,26,5
2,2,2,,42764,205,53,59,95,63,53,58,53,-130,6,5,-32,-7,7,14,11
2,3,2,,42704,198,59,72,85,81,54,73,55,-95,12,20,-25,8,8,30,14
2,4,2,,42912,234,51,69,67,53,43,66,53,-40,2,16,-48,-20,-1,23,13
2,5,2,,42988,226,46,62,67,66,48,58,52,-6,-1,9,-58,-10,3,14,11
2,6,2,,42917,857,476,254,316,363,265,407,140,614,429,199,158,290,217,363,97
2,7,2,,19582,276,53,66,68,75,65,68,52,13,6,9,-151,-2,16,25,11
2,8,2,,42549,217,62,55,82,58,52,49,51,19,13,4,-221,-17,8,7,9
2,9,2,,-1,217,58,56,127,88,53,55,46,77,11,5,-309,14,6,10,3
2,10,2,,27263,2254,2144,293,601,2208,1049,323,137,2124,2097,243,143,2126,1003,281,94
2,11,2,,10990,204,48,65,73,67,57,82,59,81,-1,14,-313,-52,10,39,15
2,12,2,,17849,158,52,67,77,74,48,58,65,45,6,14,-309,-97,1,15,23
2,13,2,,11018,153,88,73,110,101,61,80,65,47,40,17,-399,-60,12,36,22
2,14,2,,46721,101,53,69,104,93,50,62,62,0,3,7,-435,-114,0,19,16
2,15,2,,42875,133,66,90,75,72,67,90,71,38,16,21,-410,-34,18,45,25
2,1,3,,42811,172,61,58,84,71,41,57,49,-54,10,4,-90,-1,-5,15,10
2,2,3,,17927,198,61,74,72,60,55,61,52,-47,15,19,-32,-13,8,17,13
2,3,3,spike_control_i,14257,205,59,72,87,64,47,58,48,-43,10,21,-17,-4,0,16,9
2,4,3,,17593,239,46,55,85,64,41,58,40,-64,-1,4,-23,-8,-4,18,0
2,5,3,,46259,285,104,126,140,87,72,85,71,26,57,76,3,13,27,43,31
2,6,3,,42744,263,49,64,135,52,50,62,47,44,1,8,-76,-21,4,21,5
2,7,3,,42766,273,51,66,87,54,51,55,51,23,3,13,-212,-20,1,15,10
2,8,3,,42507,227,50,78,76,62,51,75,65,36,1,25,-390,-10,3,33,22
2,9,3,Empty,0,145,49,47,578,96,46,48,47,-5,0,-3,-41,-2,-2,3,5
2,10,3,,11088,212,66,64,139,76,53,68,59,84,16,15,-518,-38,6,23,19
2,11,3,,50444,330,120,84,140,151,73,100,63,212,71,33,-339,20,27,58,21
2,12,3,,50108,186,46,52,343,81,45,63,50,74,0,-1,-87,-115,-2,18,8
2,13,3,,47255,136,59,67,111,74,74,83,65,31,12,13,-469,-186,21,41,22
2,14,3,,50356,123,46,64,78,101,43,78,56,23,-4,7,-635,-155,-6,35,13
2,15,3,,50148,3556,3335,1441,3454,4611,2209,2388,1103,3460,3287,1385,2812,4501,2160,2343,1061
2,1,4,,49204,202,64,67,79,76,46,70,50,-35,13,10,-40,3,0,25,11
2,2,4,,49653,231,67,64,79,62,48,56,50,-64,17,6,-8,-15,2,12,9
2,3,4,,50389,212,62,59,82,53,56,50,51,-41,15,5,-14,-22,10,8,12
2,4,4,spike_control_a,14261,235,45,67,78,70,46,50,43,-30,1,11,-39,-2,-1,8,3
2,5,4,,49008,203,49,56,85,61,42,52,46,-23,1,5,-60,-13,-3,9,5
2,6,4,,49300,392,345,140,396,263,120,163,85,184,296,90,159,189,74,122,44
2,7,4,,49797,232,55,71,84,62,73,72,60,13,9,17,-267,-8,24,31,19
2,8,4,,47525,239,59,64,77,64,49,71,61,30,11,9,-429,-23,2,28,16
2,9,4,,49478,195,56,57,84,77,45,65,57,41,6,6,-599,-91,-2,22,15
2,10,4,,49565,370,151,112,205,223,95,70,57,238,103,62,-476,86,48,25,16
2,11,4,,50431,212,51,60,65,53,42,75,66,90,5,12,-459,-65,-5,33,25
